sep=,
Country Name,Country Code,Series Name,Series Code,2010,2014
Europe & Central Asia,ECS,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,968.027.801.513.672,105.389.007.568.359
Europe & Central Asia,ECS,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,988.647.079.467.773,106.510.887.145.996
Europe & Central Asia,ECS,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,102.775.718.688.965,103.383.773.803.711
Europe & Central Asia,ECS,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,10.209.822.845.459,103.158.348.083.496
Europe & Central Asia,ECS,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,675.880.966.186.523,698.712.997.436.523
Europe & Central Asia,ECS,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,555.285.606.384.277,604.687.385.559.082
Europe & Central Asia,ECS,GDP per capita (current US$),NY.GDP.PCAP.CD,234.628.853.798.635,259.282.193.135.486
Europe & Central Asia,ECS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,222.244.880.078.139,124.935.192.589.628
Europe & Central Asia,ECS,Population* female (% of total),SP.POP.TOTL.FE.ZS,516.347.368.212.029,51.616.446.047.459
Europe & Central Asia,ECS,Population* total,SP.POP.TOTL,889077523,903987814
Europe & Central Asia (excluding high income),ECA,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,88.867.431.640.625,973.475.494.384.766
Europe & Central Asia (excluding high income),ECA,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,917.055.511.474.609,993.880.615.234.375
Europe & Central Asia (excluding high income),ECA,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,100.447.769.165.039,101.903.678.894.043
Europe & Central Asia (excluding high income),ECA,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,998.661.117.553.711,101.687.149.047.852
Europe & Central Asia (excluding high income),ECA,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,629.489.784.240.723,645.300.903.320.313
Europe & Central Asia (excluding high income),ECA,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,531.991.996.765.137,59.696.361.541.748
Europe & Central Asia (excluding high income),ECA,GDP per capita (current US$),NY.GDP.PCAP.CD,765.140.543.145.635,946.795.718.691.349
Europe & Central Asia (excluding high income),ECA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,482.054.118.583.051,0.929516639612714
Europe & Central Asia (excluding high income),ECA,Population* female (% of total),SP.POP.TOTL.FE.ZS,522.704.884.718.088,522.459.252.282.164
Europe & Central Asia (excluding high income),ECA,Population* total,SP.POP.TOTL,399121746,408984246
Europe & Central Asia (IDA & IBRD countries),TEC,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,895.175.018.310.547,979.569.778.442.383
Europe & Central Asia (IDA & IBRD countries),TEC,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,921.390.609.741.211,100.053.619.384.766
Europe & Central Asia (IDA & IBRD countries),TEC,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,100.229.461.669.922,101.818.832.397.461
Europe & Central Asia (IDA & IBRD countries),TEC,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,996.528.930.664.063,101.640.960.693.359
Europe & Central Asia (IDA & IBRD countries),TEC,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,649.398.727.416.992,665.014.724.731.445
Europe & Central Asia (IDA & IBRD countries),TEC,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,53.579.231.262.207,593.894.195.556.641
Europe & Central Asia (IDA & IBRD countries),TEC,GDP per capita (current US$),NY.GDP.PCAP.CD,81.362.950.408.704,991.622.280.978.536
Europe & Central Asia (IDA & IBRD countries),TEC,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,453.975.324.781.599,119.451.278.245.421
Europe & Central Asia (IDA & IBRD countries),TEC,Population* female (% of total),SP.POP.TOTL.FE.ZS,522.079.210.573.287,521.894.437.984.768
Europe & Central Asia (IDA & IBRD countries),TEC,Population* total,SP.POP.TOTL,441582321,451234370
European Union,EUU,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,104.426.643.371.582,11.269.441.986.084
European Union,EUU,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,105.710.456.848.145,112.888.328.552.246
European Union,EUU,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,104.504.661.560.059,104.253.257.751.465
European Union,EUU,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,10.370.329.284.668,103.944.892.883.301
European Union,EUU,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,732.045.974.731.445,748.719.482.421.875
European Union,EUU,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,580.936.889.648.438,608.258.895.874.023
European Union,EUU,GDP per capita (current US$),NY.GDP.PCAP.CD,33.654.052.536.905,365.378.139.173.561
European Union,EUU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,192.759.181.696.059,154.041.509.521.763
European Union,EUU,Population* female (% of total),SP.POP.TOTL.FE.ZS,511.482.193.840.961,511.435.468.217.656
European Union,EUU,Population* total,SP.POP.TOTL,504412209,508344735
Faroe Islands,FRO,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,..,..
Faroe Islands,FRO,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,..,..
Faroe Islands,FRO,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,..,..
Faroe Islands,FRO,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,..,..
Faroe Islands,FRO,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,..,..
Faroe Islands,FRO,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,..,..
Faroe Islands,FRO,GDP per capita (current US$),NY.GDP.PCAP.CD,473.815.227.624.969,..
Faroe Islands,FRO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..
Faroe Islands,FRO,Population* female (% of total),SP.POP.TOTL.FE.ZS,..,..
Faroe Islands,FRO,Population* total,SP.POP.TOTL,48567,48221
Fiji,FJI,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,..,..
Fiji,FJI,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,..,..
Fiji,FJI,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,..,..
Fiji,FJI,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,..,..
Fiji,FJI,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,..,..
Fiji,FJI,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,..,..
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,36.519.582.906.354,504.237.139.569.794
Fiji,FJI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,198.516.910.991.538,473.714.887.340.107
Fiji,FJI,Population* female (% of total),SP.POP.TOTL.FE.ZS,48.959.593.093.568,491.090.304.021.659
Fiji,FJI,Population* total,SP.POP.TOTL,859952,886450
Finland,FIN,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,109.770.736.694.336,152.122.756.958.008
Finland,FIN,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,104.867.820.739.746,139.107.620.239.258
Finland,FIN,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,994.632.263.183.594,10.145.565.032.959
Finland,FIN,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,9.877.734.375,101.399.909.973.145
Finland,FIN,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,103.712.257.385.254,971.937.103.271.484
Finland,FIN,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,8.495.654.296.875,805.057.907.104.492
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,462.051.660.111.855,498.878.969.739.642
Finland,FIN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,252.222.936.565.005,-111.821.280.972.717
Finland,FIN,Population* female (% of total),SP.POP.TOTL.FE.ZS,509.307.629.925.929,508.056.886.741.148
Finland,FIN,Population* total,SP.POP.TOTL,5363352,5461512
Fragile and conflict affected situations,FCS,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,387.087.783.813.477,400.614.814.758.301
Fragile and conflict affected situations,FCS,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,501.570.091.247.559,508.945.198.059.082
Fragile and conflict affected situations,FCS,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,103.063.919.067.383,106.335.350.036.621
Fragile and conflict affected situations,FCS,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,896.502.990.722.656,942.059.478.759.766
Fragile and conflict affected situations,FCS,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,955.652.046.203.613,992.823.028.564.453
Fragile and conflict affected situations,FCS,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,123.543.796.539.307,128.535.203.933.716
Fragile and conflict affected situations,FCS,GDP per capita (current US$),NY.GDP.PCAP.CD,144.258.563.783.288,170.787.778.289.886
Fragile and conflict affected situations,FCS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,34.390.839.500.807,0.67441554643753
Fragile and conflict affected situations,FCS,Population* female (% of total),SP.POP.TOTL.FE.ZS,499.432.886.392.818,49.923.412.233.105
Fragile and conflict affected situations,FCS,Population* total,SP.POP.TOTL,432225198,474395380
France,FRA,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,111.663.803.100.586,111.234.573.364.258
France,FRA,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,11.100.463.104.248,110.079.116.821.289
France,FRA,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,10.888.330.078.125,10.572.924.041.748
France,FRA,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,107.611.961.364.746,104.971.046.447.754
France,FRA,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,639.420.890.808.105,710.006.484.985.352
France,FRA,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,505.539.817.810.059,579.261.894.226.074
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,407.057.662.299.421,426.967.788.294.314
France,FRA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,146.315.113.884.789,-0.156175467789183
France,FRA,Population* female (% of total),SP.POP.TOTL.FE.ZS,512.782.409.135.693,513.296.255.348.987
France,FRA,Population* total,SP.POP.TOTL,65027512,66495940
French Polynesia,PYF,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,..,..
French Polynesia,PYF,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,..,..
French Polynesia,PYF,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,..,..
French Polynesia,PYF,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,..,..
French Polynesia,PYF,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,..,..
French Polynesia,PYF,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,..,..
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..
French Polynesia,PYF,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..
French Polynesia,PYF,Population* female (% of total),SP.POP.TOTL.FE.ZS,487.833.174.789.697,48.930.056.008.092
French Polynesia,PYF,Population* total,SP.POP.TOTL,268065,279781
Gabon,GAB,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,..,..
Gabon,GAB,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,..,..
Gabon,GAB,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,..,..
Gabon,GAB,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,..,..
Gabon,GAB,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,..,..
Gabon,GAB,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,..,..
Gabon,GAB,GDP per capita (current US$),NY.GDP.PCAP.CD,931.204.946.268.888,107.720.617.537.637
Gabon,GAB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,469.325.228.465.993,20.080.085.292.586
Gabon,GAB,Population* female (% of total),SP.POP.TOTL.FE.ZS,495.654.813.169.937,494.488.565.024.149
Gabon,GAB,Population* total,SP.POP.TOTL,1541936,1687673
Gambia* The,GMB,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,559.724.807.739.258,..
Gambia* The,GMB,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,589.353.408.813.477,..
Gambia* The,GMB,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,831.565.780.639.648,835.227.279.663.086
Gambia* The,GMB,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,855.667.419.433.594,880.416.564.941.406
Gambia* The,GMB,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,176.122.999.191.284,..
Gambia* The,GMB,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,260.339.999.198.914,..
Gambia* The,GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,562.568.166.142.471,440.370.389.176.931
Gambia* The,GMB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,312.044.159.156.785,-233.076.740.360.491
Gambia* The,GMB,Population* female (% of total),SP.POP.TOTL.FE.ZS,504.764.908.724.266,504.959.804.501.709
Gambia* The,GMB,Population* total,SP.POP.TOTL,1693002,1928201
Georgia,GEO,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,..,996.030.807.495.117
Georgia,GEO,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,..,992.719.268.798.828
Georgia,GEO,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,109.272.392.272.949,116.268.539.428.711
Georgia,GEO,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,110.663.963.317.871,117.543.151.855.469
Georgia,GEO,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,322.726.287.841.797,436.902.008.056.641
Georgia,GEO,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,256.342.296.600.342,347.850.608.825.684
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,296.447.704.802.208,442.965.007.451.491
Georgia,GEO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,766.035.350.871.445,59.988.466.003.136
Georgia,GEO,Population* female (% of total),SP.POP.TOTL.FE.ZS,525.233.333.929.393,52.331.010.361.423
Georgia,GEO,Population* total,SP.POP.TOTL,3926000,3727000
Germany,DEU,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,101.220.367.431.641,995.182.800.292.969
Germany,DEU,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,106.616.088.867.188,105.199.073.791.504
Germany,DEU,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,103.772.789.001.465,103.669.677.734.375
Germany,DEU,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,103.598.579.406.738,102.981.727.600.098
Germany,DEU,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,..,632.546.081.542.969
Germany,DEU,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,..,676.118.011.474.609
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,417.880.447.853.084,479.026.528.842.516
Germany,DEU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,423.950.434.523.579,303.837.014.138.699
Germany,DEU,Population* female (% of total),SP.POP.TOTL.FE.ZS,510.011.517.703.289,508.861.501.851.134
Germany,DEU,Population* total,SP.POP.TOTL,81776930,80982500
Ghana,GHA,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,..,649.135.437.011.719
Ghana,GHA,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,..,691.875.610.351.563
Ghana,GHA,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,..,106.522.583.007.813
Ghana,GHA,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,..,106.402.282.714.844
Ghana,GHA,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,..,124.204.702.377.319
Ghana,GHA,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,..,186.044.502.258.301
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,132.309.914.056.856,144.163.645.311.166
Ghana,GHA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,52.172.146.104.472,15.706.104.255.667
Ghana,GHA,Population* female (% of total),SP.POP.TOTL.FE.ZS,505.111.948.341.897,503.122.008.998.679
Ghana,GHA,Population* total,SP.POP.TOTL,24317734,26786598
Gibraltar,GIB,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,..,..
Gibraltar,GIB,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,..,..
Gibraltar,GIB,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,..,..
Gibraltar,GIB,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,..,..
Gibraltar,GIB,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,..,..
Gibraltar,GIB,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,..,..
Gibraltar,GIB,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..
Gibraltar,GIB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..
Gibraltar,GIB,Population* female (% of total),SP.POP.TOTL.FE.ZS,..,..
Gibraltar,GIB,Population* total,SP.POP.TOTL,30732,31997
Greece,GRC,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,101.527.038.574.219,..
Greece,GRC,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,108.299.087.524.414,..
Greece,GRC,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,101.157.730.102.539,..
Greece,GRC,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,99.313.232.421.875,..
Greece,GRC,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,10.493.733.215.332,..
Greece,GRC,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,100.628.280.639.648,..
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,269.193.616.367.757,216.737.810.702.225
Greece,GRC,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-5.600.777.666.962,102.354.421.250.598
Greece,GRC,Population* female (% of total),SP.POP.TOTL.FE.ZS,509.405.270.888.174,511.616.315.829.327
Greece,GRC,Population* total,SP.POP.TOTL,11121341,10892413
Greenland,GRL,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,..,..
Greenland,GRL,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,..,..
Greenland,GRL,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,..,..
Greenland,GRL,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,..,..
Greenland,GRL,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,..,..
Greenland,GRL,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,..,..
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,401.936.660.251.226,433.648.828.499.176
Greenland,GRL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..
Greenland,GRL,Population* female (% of total),SP.POP.TOTL.FE.ZS,..,..
Greenland,GRL,Population* total,SP.POP.TOTL,56905,56295
Grenada,GRD,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,109.385.047.912.598,100.507.942.199.707
Grenada,GRD,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,10.624.186.706.543,101.176.712.036.133
Grenada,GRD,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,105.133.140.563.965,103.956.886.291.504
Grenada,GRD,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,101.533.218.383.789,102.252.838.134.766
Grenada,GRD,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,..,..
Grenada,GRD,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,..,..
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,73.656.666.592.364,857.066.339.581.455
Grenada,GRD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.871481496966368,69.055.344.633.244
Grenada,GRD,Population* female (% of total),SP.POP.TOTL.FE.ZS,500.406.010.871.538,498.744.699.056.879
Grenada,GRD,Population* total,SP.POP.TOTL,104677,106349
Guam,GUM,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,..,..
Guam,GUM,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,..,..
Guam,GUM,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,..,..
Guam,GUM,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,..,..
Guam,GUM,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,..,..
Guam,GUM,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,..,..
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..
Guam,GUM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..
Guam,GUM,Population* female (% of total),SP.POP.TOTL.FE.ZS,491.827.646.763.673,492.697.397.086.121
Guam,GUM,Population* total,SP.POP.TOTL,159440,167543
Guatemala,GTM,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,610.196.914.672.852,61.502.311.706.543
Guatemala,GTM,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,652.217.330.932.617,65.509.407.043.457
Guatemala,GTM,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,118.734.359.741.211,105.524.139.404.297
Guatemala,GTM,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,115.227.401.733.398,101.592.140.197.754
Guatemala,GTM,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,..,..
Guatemala,GTM,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,..,..
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,280.597.393.749.085,366.657.983.772.965
Guatemala,GTM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.675359259994153,20.621.233.331.356
Guatemala,GTM,Population* female (% of total),SP.POP.TOTL.FE.ZS,511.477.769.773.424,511.018.767.201.311
Guatemala,GTM,Population* total,SP.POP.TOTL,14732261,16015494
Guinea,GIN,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,..,306.915.702.819.824
Guinea,GIN,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,..,467.901.496.887.207
Guinea,GIN,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,926.127.777.099.609,985.859.985.351.563
Guinea,GIN,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,763.642.883.300.781,837.966.384.887.695
Guinea,GIN,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,507.742.023.468.018,667.995.977.401.733
Guinea,GIN,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,153.640.298.843.384,149.355.096.817.017
Guinea,GIN,GDP per capita (current US$),NY.GDP.PCAP.CD,4.300.564.738.591,539.615.774.988.756
Guinea,GIN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.809590513052868,-227.286.586.679.472
Guinea,GIN,Population* female (% of total),SP.POP.TOTL.FE.ZS,499.425.920.184.926,498.734.759.004.644
Guinea,GIN,Population* total,SP.POP.TOTL,11012406,12275527
Guinea-Bissau,GNB,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,..,..
Guinea-Bissau,GNB,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,..,..
Guinea-Bissau,GNB,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,117.523.017.883.301,..
Guinea-Bissau,GNB,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,10.979.313.659.668,..
Guinea-Bissau,GNB,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,..,..
Guinea-Bissau,GNB,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,..,..
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,517.889.175.790.384,615.939.682.581.074
Guinea-Bissau,GNB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,204.412.835.158.863,0.0708240494444965
Guinea-Bissau,GNB,Population* female (% of total),SP.POP.TOTL.FE.ZS,503.626.248.014.314,503.608.138.347.238
Guinea-Bissau,GNB,Population* total,SP.POP.TOTL,1634196,1800513
Guyana,GUY,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,886.319.808.959.961,..
Guyana,GUY,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,886.528.625.488.281,..
Guyana,GUY,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,870.411.605.834.961,..
Guyana,GUY,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,836.840.209.960.938,..
Guyana,GUY,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,189.275.608.062.744,..
Guyana,GUY,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,745.870.018.005.371,..
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,299.894.127.424.089,40.281.639.914.829
Guyana,GUY,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,400.886.404.940.883,34.521.369.908.677
Guyana,GUY,Population* female (% of total),SP.POP.TOTL.FE.ZS,500.627.852.214.473,497.976.810.888.436
Guyana,GUY,Population* total,SP.POP.TOTL,753362,763893
Haiti,HTI,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,..,..
Haiti,HTI,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,..,..
Haiti,HTI,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,..,..
Haiti,HTI,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,..,..
Haiti,HTI,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,..,..
Haiti,HTI,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,..,..
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,662.279.381.247.833,83.159.052.167.163
Haiti,HTI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-688.385.260.184.661,142.795.984.032.756
Haiti,HTI,Population* female (% of total),SP.POP.TOTL.FE.ZS,505.663.166.899.292,505.434.860.233.546
Haiti,HTI,Population* total,SP.POP.TOTL,9999617,10572029
Heavily indebted poor countries (HIPC),HPC,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,31.742.919.921.875,356.210.403.442.383
Heavily indebted poor countries (HIPC),HPC,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,416.895.904.541.016,440.461.883.544.922
Heavily indebted poor countries (HIPC),HPC,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,103.242.073.059.082,105.316.093.444.824
Heavily indebted poor countries (HIPC),HPC,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,947.560.195.922.852,980.804.977.416.992
Heavily indebted poor countries (HIPC),HPC,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,537.855.005.264.282,623.304.986.953.735
Heavily indebted poor countries (HIPC),HPC,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,880.679.988.861.084,999.938.011.169.434
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),NY.GDP.PCAP.CD,736.773.115.119.439,911.837.858.529.051
Heavily indebted poor countries (HIPC),HPC,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,279.926.548.506.373,261.338.477.656.177
Heavily indebted poor countries (HIPC),HPC,Population* female (% of total),SP.POP.TOTL.FE.ZS,501.472.065.185.858,500.918.959.706.608
Heavily indebted poor countries (HIPC),HPC,Population* total,SP.POP.TOTL,628333588,701714118
High income,HIC,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,100.513.633.728.027,106.061.317.443.848
